ProductoID,Nombre,Categoria,TipoProducto,Marca,PrecioUnitario,CostoActual
1,Noblex Televisor TG412,Audio/Video,Televisor,Noblex,400000.0,258200.0
2,Sony Televisor UQ166,Audio/Video,Televisor,Sony,649000.0,491200.0
3,Drean Plancha DV242,Limpieza,Plancha,Drean,32000.0,23400.0
4,Atma Cocina PM257,Cocina,Cocina,Atma,473000.0,286000.0
5,BGH Aire acondicionado CZ178,Climatización,Aire acondicionado,BGH,498000.0,346100.0
6,BGH Cocina PF851,Cocina,Cocina,BGH,212000.0,141200.0
7,BGH Pava eléctrica XK723,Cocina,Pava eléctrica,BGH,40000.0,26800.0
8,Philco Termotanque NT491,Climatización,Termotanque,Philco,210000.0,161300.0
9,Electrolux Lavavajillas OI011,Limpieza,Lavavajillas,Electrolux,550000.0,436900.0
10,Sony Monitor WV285,Audio/Video,Monitor,Sony,293000.0,223300.0
11,BGH Cocina JI612,Cocina,Cocina,BGH,395000.0,274200.0
12,Philco Heladera RR253,Cocina,Heladera,Philco,669000.0,440300.0
13,Drean Lavarropas FA399,Limpieza,Lavarropas,Drean,526000.0,344800.0
14,LG Barra de sonido BH015,Audio/Video,Barra de sonido,LG,105000.0,70500.0
15,LG Barra de sonido DH603,Audio/Video,Barra de sonido,LG,182000.0,116700.0
16,Philco Ventilador HN835,Climatización,Ventilador,Philco,63000.0,47000.0
17,Whirlpool Pava eléctrica XV934,Cocina,Pava eléctrica,Whirlpool,31000.0,23100.0
18,LG Equipo de sonido UT832,Audio/Video,Equipo de sonido,LG,170000.0,105400.0
19,Philco Anafe GQ470,Cocina,Anafe,Philco,249000.0,157800.0
20,Philco Heladera JE766,Cocina,Heladera,Philco,694000.0,423600.0
21,Electra Ventilador MQ714,Climatización,Ventilador,Electra,43000.0,31400.0
22,BGH Ventilador VB443,Climatización,Ventilador,BGH,33000.0,22200.0
23,Electrolux Aspiradora robot PY134,Limpieza,Aspiradora robot,Electrolux,449000.0,341800.0
24,Samsung Aire acondicionado IR517,Climatización,Aire acondicionado,Samsung,575000.0,384100.0
25,BGH Termotanque NT039,Climatización,Termotanque,BGH,157000.0,108200.0
26,Samsung Aire acondicionado TM324,Climatización,Aire acondicionado,Samsung,772000.0,473600.0
27,Electrolux Plancha ZI575,Limpieza,Plancha,Electrolux,39000.0,27700.0
28,Philips Equipo de sonido VV265,Audio/Video,Equipo de sonido,Philips,210000.0,146000.0
29,Whirlpool Microondas UE311,Cocina,Microondas,Whirlpool,158000.0,119800.0
30,Noblex Monitor PD104,Audio/Video,Monitor,Noblex,261000.0,179000.0
31,Liliana Anafe JK649,Cocina,Anafe,Liliana,130000.0,88400.0
32,Drean Plancha JY678,Limpieza,Plancha,Drean,34000.0,21500.0
33,LG Lavarropas ZR918,Limpieza,Lavarropas,LG,285000.0,175900.0
34,Samsung Ventilador DJ282,Climatización,Ventilador,Samsung,76000.0,53500.0
35,LG Televisor DW745,Audio/Video,Televisor,LG,645000.0,503300.0
36,Samsung Aire acondicionado DU668,Climatización,Aire acondicionado,Samsung,796000.0,626800.0
37,Whirlpool Lavarropas QE847,Limpieza,Lavarropas,Whirlpool,502000.0,355400.0
38,Sony Monitor HM484,Audio/Video,Monitor,Sony,133000.0,95600.0
39,Philips Equipo de sonido JU678,Audio/Video,Equipo de sonido,Philips,332000.0,246000.0
40,Beko Aspiradora robot SN786,Limpieza,Aspiradora robot,Beko,464000.0,353900.0
41,Beko Lavavajillas QW470,Limpieza,Lavavajillas,Beko,490000.0,322600.0
42,Electra Calefactor BW428,Climatización,Calefactor,Electra,88000.0,58200.0
43,Sony Monitor FT401,Audio/Video,Monitor,Sony,315000.0,224200.0
44,BGH Aire acondicionado NM581,Climatización,Aire acondicionado,BGH,464000.0,278800.0
45,Noblex Equipo de sonido PT590,Audio/Video,Equipo de sonido,Noblex,399000.0,292600.0
46,Electrolux Lavarropas VQ697,Limpieza,Lavarropas,Electrolux,575000.0,366900.0
47,Whirlpool Pava eléctrica SM492,Cocina,Pava eléctrica,Whirlpool,40000.0,30300.0
48,Sony Barra de sonido DN914,Audio/Video,Barra de sonido,Sony,152000.0,116500.0
49,Beko Lavarropas BL555,Limpieza,Lavarropas,Beko,532000.0,382200.0
50,Philco Microondas ED284,Cocina,Microondas,Philco,176000.0,126600.0
51,LG Plancha SK398,Limpieza,Plancha,LG,35000.0,24100.0
52,Liliana Tostadora YY205,Cocina,Tostadora,Liliana,26000.0,19500.0
53,Philips Monitor JQ393,Audio/Video,Monitor,Philips,328000.0,200400.0
54,Noblex Equipo de sonido OA745,Audio/Video,Equipo de sonido,Noblex,202000.0,131500.0
55,Beko Lavavajillas TM158,Limpieza,Lavavajillas,Beko,563000.0,424700.0
56,Samsung Termotanque IC653,Climatización,Termotanque,Samsung,123000.0,79600.0
57,Philco Tostadora VM125,Cocina,Tostadora,Philco,16000.0,11800.0
58,Drean Aspiradora ZX773,Limpieza,Aspiradora,Drean,98000.0,67700.0
59,Sony Barra de sonido UQ501,Audio/Video,Barra de sonido,Sony,88000.0,53000.0
60,BGH Termotanque TI604,Climatización,Termotanque,BGH,174000.0,126700.0
