VentaID,Fecha,TiendaID,EmpleadoID,ProductoID,Cantidad,PrecioUnitario,PrecioTotal
1,20240817,5,33,41,1,490000.0,490000.0
1,20240817,5,33,53,2,328000.0,656000.0
1,20240817,5,33,99,2,660000.0,1320000.0
2,20240410,4,42,16,1,63000.0,63000.0
2,20240410,4,42,37,3,502000.0,1506000.0
3,20240704,5,70,33,1,285000.0,285000.0
3,20240704,5,70,37,2,502000.0,1004000.0
3,20240704,5,70,72,2,817000.0,1634000.0
4,20240104,3,56,2,1,649000.0,649000.0
4,20240104,3,56,20,1,694000.0,694000.0
4,20240104,3,56,76,1,177000.0,177000.0
4,20240104,3,56,88,2,152000.0,304000.0
5,20240719,4,42,23,2,449000.0,898000.0
5,20240719,4,42,51,2,35000.0,70000.0
6,20240413,3,39,49,2,532000.0,1064000.0
7,20241117,3,9,33,2,285000.0,570000.0
7,20241117,3,9,35,2,645000.0,1290000.0
8,20240415,3,9,32,1,34000.0,34000.0
9,20240227,3,9,91,4,491000.0,1964000.0
9,20240227,3,9,98,1,759000.0,759000.0
10,20240803,5,55,62,2,132000.0,264000.0
11,20240521,1,27,24,2,575000.0,1150000.0
12,20241129,4,30,2,2,649000.0,1298000.0
12,20241129,4,30,4,1,473000.0,473000.0
12,20241129,4,30,13,1,526000.0,526000.0
12,20241129,4,30,74,2,138000.0,276000.0
13,20240308,1,52,57,1,16000.0,16000.0
13,20240308,1,52,94,2,32000.0,64000.0
14,20241101,3,39,57,2,16000.0,32000.0
14,20241101,3,39,67,1,43000.0,43000.0
15,20240130,3,39,90,1,202000.0,202000.0
15,20240130,3,39,91,2,491000.0,982000.0
16,20240512,1,7,61,1,96000.0,96000.0
17,20240426,1,52,24,2,575000.0,1150000.0
17,20240426,1,52,34,1,76000.0,76000.0
17,20240426,1,52,36,2,796000.0,1592000.0
17,20240426,1,52,45,4,399000.0,1596000.0
17,20240426,1,52,65,3,218000.0,654000.0
18,20240305,3,39,19,2,249000.0,498000.0
18,20240305,3,39,54,2,202000.0,404000.0
18,20240305,3,39,55,1,563000.0,563000.0
19,20240128,4,59,20,2,694000.0,1388000.0
19,20240128,4,59,35,1,645000.0,645000.0
19,20240128,4,59,78,2,366000.0,732000.0
19,20240128,4,59,89,2,30000.0,60000.0
20,20240308,5,43,7,3,40000.0,120000.0
20,20240308,5,43,84,2,172000.0,344000.0
21,20240909,2,66,54,2,202000.0,404000.0
22,20240820,1,36,17,3,31000.0,93000.0
22,20240820,1,36,56,1,123000.0,123000.0
22,20240820,1,36,95,2,187000.0,374000.0
22,20240820,1,36,96,1,365000.0,365000.0
23,20241222,3,29,62,1,132000.0,132000.0
23,20241222,3,29,79,1,342000.0,342000.0
24,20241123,3,56,5,2,498000.0,996000.0
25,20240224,1,7,9,3,550000.0,1650000.0
25,20240224,1,7,38,2,133000.0,266000.0
26,20240125,4,42,78,2,366000.0,732000.0
27,20240625,3,56,5,2,498000.0,996000.0
27,20240625,3,56,51,1,35000.0,35000.0
28,20241201,2,26,21,1,43000.0,43000.0
28,20241201,2,26,52,2,26000.0,52000.0
28,20241201,2,26,54,2,202000.0,404000.0
28,20241201,2,26,76,2,177000.0,354000.0
29,20240807,5,33,11,1,395000.0,395000.0
29,20240807,5,33,47,1,40000.0,40000.0
30,20240306,4,59,89,2,30000.0,60000.0
31,20240731,1,52,42,2,88000.0,176000.0
31,20240731,1,52,96,4,365000.0,1460000.0
32,20240809,5,55,20,2,694000.0,1388000.0
32,20240809,5,55,43,1,315000.0,315000.0
32,20240809,5,55,80,1,330000.0,330000.0
32,20240809,5,55,99,2,660000.0,1320000.0
33,20240606,3,9,15,2,182000.0,364000.0
33,20240606,3,9,36,2,796000.0,1592000.0
33,20240606,3,9,50,2,176000.0,352000.0
33,20240606,3,9,54,4,202000.0,808000.0
33,20240606,3,9,57,1,16000.0,16000.0
34,20240606,2,47,29,5,158000.0,790000.0
34,20240606,2,47,66,1,342000.0,342000.0
34,20240606,2,47,87,1,30000.0,30000.0
35,20241111,1,7,45,1,399000.0,399000.0
36,20240126,4,42,46,2,575000.0,1150000.0
36,20240126,4,42,82,2,21000.0,42000.0
37,20241010,1,52,63,2,206000.0,412000.0
37,20241010,1,52,78,2,366000.0,732000.0
38,20240131,1,52,2,1,649000.0,649000.0
38,20240131,1,52,91,4,491000.0,1964000.0
39,20240805,3,39,6,1,212000.0,212000.0
39,20240805,3,39,54,2,202000.0,404000.0
39,20240805,3,39,80,2,330000.0,660000.0
39,20240805,3,39,96,1,365000.0,365000.0
40,20241106,1,52,9,1,550000.0,550000.0
40,20241106,1,52,11,2,395000.0,790000.0
40,20241106,1,52,32,4,34000.0,136000.0
40,20241106,1,52,53,1,328000.0,328000.0
41,20240425,5,33,25,2,157000.0,314000.0
42,20241111,5,33,35,1,645000.0,645000.0
43,20240430,3,39,19,2,249000.0,498000.0
43,20240430,3,39,32,1,34000.0,34000.0
43,20240430,3,39,60,2,174000.0,348000.0
43,20240430,3,39,74,3,138000.0,414000.0
43,20240430,3,39,90,1,202000.0,202000.0
44,20240420,3,9,75,2,29000.0,58000.0
45,20240103,5,33,23,4,449000.0,1796000.0
45,20240103,5,33,28,1,210000.0,210000.0
45,20240103,5,33,68,2,218000.0,436000.0
45,20240103,5,33,94,2,32000.0,64000.0
45,20240103,5,33,96,1,365000.0,365000.0
46,20240507,4,30,14,2,105000.0,210000.0
46,20240507,4,30,37,5,502000.0,2510000.0
47,20240721,2,11,17,1,31000.0,31000.0
47,20240721,2,11,58,2,98000.0,196000.0
47,20240721,2,11,65,1,218000.0,218000.0
47,20240721,2,11,73,1,27000.0,27000.0
47,20240721,2,11,74,5,138000.0,690000.0
48,20240220,3,9,33,3,285000.0,855000.0
48,20240220,3,9,75,1,29000.0,29000.0
48,20240220,3,9,87,5,30000.0,150000.0
49,20240915,1,27,100,4,383000.0,1532000.0
50,20240831,2,47,7,1,40000.0,40000.0
51,20240815,2,47,18,1,170000.0,170000.0
51,20240815,2,47,45,1,399000.0,399000.0
51,20240815,2,47,73,2,27000.0,54000.0
52,20241103,1,52,31,1,130000.0,130000.0
52,20241103,1,52,75,2,29000.0,58000.0
52,20241103,1,52,80,4,330000.0,1320000.0
52,20241103,1,52,96,1,365000.0,365000.0
53,20241110,5,43,17,2,31000.0,62000.0
54,20240831,4,30,2,2,649000.0,1298000.0
55,20240924,5,43,17,2,31000.0,62000.0
55,20240924,5,43,48,4,152000.0,608000.0
55,20240924,5,43,57,1,16000.0,16000.0
55,20240924,5,43,62,2,132000.0,264000.0
55,20240924,5,43,68,1,218000.0,218000.0
56,20240715,1,7,21,2,43000.0,86000.0
56,20240715,1,7,56,2,123000.0,246000.0
56,20240715,1,7,72,4,817000.0,3268000.0
56,20240715,1,7,78,2,366000.0,732000.0
56,20240715,1,7,92,2,872000.0,1744000.0
57,20241203,5,43,4,1,473000.0,473000.0
57,20241203,5,43,10,1,293000.0,293000.0
57,20241203,5,43,66,1,342000.0,342000.0
57,20241203,5,43,84,1,172000.0,172000.0
58,20240918,5,43,58,2,98000.0,196000.0
59,20240115,5,55,4,5,473000.0,2365000.0
59,20240115,5,55,36,1,796000.0,796000.0
59,20240115,5,55,77,1,307000.0,307000.0
59,20240115,5,55,96,1,365000.0,365000.0
60,20241214,1,36,2,1,649000.0,649000.0
60,20241214,1,36,49,1,532000.0,532000.0
60,20241214,1,36,78,1,366000.0,366000.0
61,20240530,3,39,37,2,502000.0,1004000.0
62,20240721,5,43,13,2,526000.0,1052000.0
62,20240721,5,43,48,2,152000.0,304000.0
63,20240225,2,66,2,3,649000.0,1947000.0
63,20240225,2,66,56,4,123000.0,492000.0
64,20240806,5,43,11,2,395000.0,790000.0
64,20240806,5,43,84,2,172000.0,344000.0
65,20240502,4,30,35,1,645000.0,645000.0
65,20240502,4,30,48,2,152000.0,304000.0
65,20240502,4,30,50,1,176000.0,176000.0
65,20240502,4,30,72,1,817000.0,817000.0
66,20240417,2,66,39,3,332000.0,996000.0
67,20240102,1,36,41,2,490000.0,980000.0
67,20240102,1,36,44,1,464000.0,464000.0
67,20240102,1,36,45,1,399000.0,399000.0
67,20240102,1,36,70,1,291000.0,291000.0
68,20240904,2,11,4,1,473000.0,473000.0
68,20240904,2,11,45,1,399000.0,399000.0
68,20240904,2,11,87,2,30000.0,60000.0
68,20240904,2,11,92,1,872000.0,872000.0
69,20241224,5,55,11,3,395000.0,1185000.0
69,20241224,5,55,75,3,29000.0,87000.0
70,20240216,1,27,70,1,291000.0,291000.0
70,20240216,1,27,72,2,817000.0,1634000.0
70,20240216,1,27,73,2,27000.0,54000.0
71,20240404,2,11,18,1,170000.0,170000.0
71,20240404,2,11,52,2,26000.0,52000.0
72,20240401,1,27,40,3,464000.0,1392000.0
73,20240119,1,7,15,2,182000.0,364000.0
73,20240119,1,7,51,1,35000.0,35000.0
73,20240119,1,7,73,1,27000.0,27000.0
74,20240109,3,29,19,2,249000.0,498000.0
74,20240109,3,29,27,1,39000.0,39000.0
75,20241030,1,36,26,2,772000.0,1544000.0
75,20241030,1,36,66,1,342000.0,342000.0
76,20240705,2,66,7,2,40000.0,80000.0
76,20240705,2,66,14,1,105000.0,105000.0
76,20240705,2,66,53,1,328000.0,328000.0
76,20240705,2,66,80,5,330000.0,1650000.0
77,20240515,3,56,36,1,796000.0,796000.0
77,20240515,3,56,57,1,16000.0,16000.0
78,20241218,2,26,17,2,31000.0,62000.0
78,20241218,2,26,62,3,132000.0,396000.0
79,20240505,5,33,1,2,400000.0,800000.0
79,20240505,5,33,23,4,449000.0,1796000.0
80,20241002,3,39,28,1,210000.0,210000.0
80,20241002,3,39,36,1,796000.0,796000.0
80,20241002,3,39,75,3,29000.0,87000.0
80,20241002,3,39,85,2,109000.0,218000.0
80,20241002,3,39,94,2,32000.0,64000.0
81,20240529,5,33,1,2,400000.0,800000.0
81,20240529,5,33,8,2,210000.0,420000.0
81,20240529,5,33,13,2,526000.0,1052000.0
81,20240529,5,33,36,2,796000.0,1592000.0
81,20240529,5,33,78,1,366000.0,366000.0
82,20240207,1,7,51,4,35000.0,140000.0
82,20240207,1,7,73,1,27000.0,27000.0
83,20240309,4,30,29,1,158000.0,158000.0
83,20240309,4,30,88,3,152000.0,456000.0
84,20241019,4,59,15,2,182000.0,364000.0
84,20241019,4,59,91,1,491000.0,491000.0
85,20240513,3,39,27,2,39000.0,78000.0
85,20240513,3,39,51,1,35000.0,35000.0
85,20240513,3,39,89,1,30000.0,30000.0
86,20240114,2,26,9,1,550000.0,550000.0
86,20240114,2,26,23,1,449000.0,449000.0
86,20240114,2,26,31,2,130000.0,260000.0
86,20240114,2,26,56,2,123000.0,246000.0
86,20240114,2,26,80,1,330000.0,330000.0
87,20240202,2,11,12,1,669000.0,669000.0
87,20240202,2,11,26,1,772000.0,772000.0
87,20240202,2,11,36,1,796000.0,796000.0
87,20240202,2,11,39,1,332000.0,332000.0
87,20240202,2,11,66,1,342000.0,342000.0
88,20241214,1,36,44,1,464000.0,464000.0
88,20241214,1,36,50,2,176000.0,352000.0
88,20241214,1,36,57,1,16000.0,16000.0
88,20241214,1,36,70,1,291000.0,291000.0
88,20241214,1,36,96,2,365000.0,730000.0
89,20240927,1,52,19,1,249000.0,249000.0
89,20240927,1,52,78,2,366000.0,732000.0
89,20240927,1,52,80,2,330000.0,660000.0
90,20241119,2,11,44,1,464000.0,464000.0
91,20240119,3,39,15,1,182000.0,182000.0
91,20240119,3,39,21,4,43000.0,172000.0
92,20241223,2,26,11,2,395000.0,790000.0
92,20241223,2,26,13,2,526000.0,1052000.0
92,20241223,2,26,29,4,158000.0,632000.0
93,20241012,1,36,49,1,532000.0,532000.0
94,20240611,1,7,82,2,21000.0,42000.0
95,20241025,5,70,13,1,526000.0,526000.0
95,20241025,5,70,62,3,132000.0,396000.0
96,20240828,4,30,13,1,526000.0,526000.0
96,20240828,4,30,22,2,33000.0,66000.0
96,20240828,4,30,33,2,285000.0,570000.0
97,20240214,1,27,9,2,550000.0,1100000.0
97,20240214,1,27,95,1,187000.0,187000.0
98,20240524,1,36,57,2,16000.0,32000.0
99,20240309,4,35,13,1,526000.0,526000.0
100,20241027,5,33,48,2,152000.0,304000.0
101,20240513,3,56,11,3,395000.0,1185000.0
101,20240513,3,56,34,2,76000.0,152000.0
102,20240823,3,29,19,1,249000.0,249000.0
102,20240823,3,29,43,4,315000.0,1260000.0
103,20240415,5,33,63,2,206000.0,412000.0
103,20240415,5,33,81,1,356000.0,356000.0
104,20241229,3,56,78,1,366000.0,366000.0
105,20240428,2,47,39,3,332000.0,996000.0
105,20240428,2,47,87,1,30000.0,30000.0
106,20240930,1,27,42,4,88000.0,352000.0
107,20240809,4,35,50,1,176000.0,176000.0
108,20241118,2,26,21,1,43000.0,43000.0
108,20241118,2,26,51,1,35000.0,35000.0
108,20241118,2,26,79,1,342000.0,342000.0
108,20241118,2,26,92,2,872000.0,1744000.0
109,20241214,4,30,42,2,88000.0,176000.0
110,20241123,2,47,26,2,772000.0,1544000.0
110,20241123,2,47,73,2,27000.0,54000.0
110,20241123,2,47,86,2,119000.0,238000.0
110,20241123,2,47,92,3,872000.0,2616000.0
111,20240929,1,36,26,2,772000.0,1544000.0
111,20240929,1,36,40,3,464000.0,1392000.0
111,20240929,1,36,92,2,872000.0,1744000.0
111,20240929,1,36,95,1,187000.0,187000.0
112,20240820,5,70,13,1,526000.0,526000.0
112,20240820,5,70,28,3,210000.0,630000.0
112,20240820,5,70,43,1,315000.0,315000.0
112,20240820,5,70,97,2,184000.0,368000.0
113,20240926,3,56,91,1,491000.0,491000.0
114,20240305,3,39,87,1,30000.0,30000.0
115,20240701,5,70,44,2,464000.0,928000.0
116,20240504,4,59,64,1,463000.0,463000.0
116,20240504,4,59,73,3,27000.0,81000.0
117,20240913,1,7,56,1,123000.0,123000.0
117,20240913,1,7,57,2,16000.0,32000.0
117,20240913,1,7,73,1,27000.0,27000.0
117,20240913,1,7,95,1,187000.0,187000.0
118,20240713,2,11,62,1,132000.0,132000.0
